id,date,HIC,well,scene,label,area,intensity_max-DAPI Class,row,column,chelation,media
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,1,0.60063159,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,2,0.24641296000000001,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,3,3.20336848,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,4,0.3080162,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,5,269.28316285,1.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,6,7.8852147200000005,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,7,1.3860729,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,8,0.7854413100000001,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,9,0.030801620000000002,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,10,0.18480972,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,11,0.7700405,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,12,9.05567628,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,13,2.09451016,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,14,0.36961944,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,15,2.14071259,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,16,115.56767824,0.0,H,9,100uM DFO,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,1,0.04620243,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,2,0.5082267300000001,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,3,0.015400810000000001,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,4,0.13860729,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,5,0.015400810000000001,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,6,0.13860729,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,7,181.34453775,1.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,8,0.061603240000000004,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,9,0.13860729,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,10,0.061603240000000004,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,11,0.13860729,0.0,B,9,Control,NGM
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,12,742.5808557700001,1.0,B,9,Control,NGM
