id,date,HIC,well,scene,intensity_max-DAPI Class,chelation,label_count,area_mean
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,0.0,100uM DFO,15,9.641933780666667
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_107_106_P1-H9.ome__0__Image:0,2024-08-07,24,H9,P1-H9,1.0,100uM DFO,1,269.28316285
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,0.0,Control,12,1.0369878733333333
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_10_9_P8-B9.ome__0__Image:0,2024-08-07,24,B9,P8-B9,1.0,Control,2,461.96269676000003
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,0.0,Control,39,0.5769380361538462
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_25_24_P8-C9.ome__0__Image:0,2024-08-07,24,C9,P8-C9,1.0,Control,1,297.45124434
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,0.0,100uM DFO,18,3.0023023494444447
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_2_1_P4-A9.ome__0__Image:0,2024-08-07,24,A9,P4-A9,1.0,100uM DFO,2,446.76209729000004
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,0.0,50uM DFP,12,6.5414940475
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_56_55_P8-D9.ome__0__Image:0,2024-08-07,24,D9,P8-D9,1.0,50uM DFP,2,439.74702833500004
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,0.0,50uM DFP,27,1.5366585977777778
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_57_56_P4-E9.ome__0__Image:0,2024-08-07,24,E9,P4-E9,1.0,50uM DFP,2,438.93848581
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_58_57_P3-E9.ome__0__Image:0,2024-08-07,24,E9,P3-E9,0.0,50uM DFP,8,10.378220838750002
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_58_57_P3-E9.ome__0__Image:0,2024-08-07,24,E9,P3-E9,1.0,50uM DFP,2,414.428096695
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_99_98_P8-G9.ome__0__Image:0,2024-08-07,24,G9,P8-G9,0.0,100uM DFP,55,0.8168029594545455
2024-08-07 25x 24HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_99_98_P8-G9.ome__0__Image:0,2024-08-07,24,G9,P8-G9,1.0,100uM DFP,2,407.266720045
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_132_131_P20-H9.ome__0__Image:0,2024-08-07,48,H9,P20-H9,0.0,100uM DFO,34,1.1233532000000002
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_132_131_P20-H9.ome__0__Image:0,2024-08-07,48,H9,P20-H9,1.0,100uM DFO,2,360.71777182000005
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_36_35_P6-C9.ome__0__Image:0,2024-08-07,48,C9,P6-C9,0.0,Control,34,5.81516467
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_36_35_P6-C9.ome__0__Image:0,2024-08-07,48,C9,P6-C9,1.0,Control,3,355.05540734333334
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_42_41_P7-C9.ome__0__Image:0,2024-08-07,48,C9,P7-C9,0.0,Control,16,4.55286445625
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_42_41_P7-C9.ome__0__Image:0,2024-08-07,48,C9,P7-C9,1.0,Control,2,503.48328052000005
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_46_45_P6-D9.ome__0__Image:0,2024-08-07,48,D9,P6-D9,0.0,50uM DFP,59,0.5489475157627118
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_46_45_P6-D9.ome__0__Image:0,2024-08-07,48,D9,P6-D9,1.0,50uM DFP,4,404.76408842
2024-08-07 25x 48HIC NCOA4 647 FT 568 PHALL 488 DAPI OBL_52_51_P10-D9.ome__0__Image:0,2024-08-07,48,D9,P10-D9,0.0,50uM DFP,54,0.5681187688888889
