id,site,well,plate,media,treatment,label_count,label_count,label_count,area_mean,area_mean,area_mean,intensity_mean-MitoTDR_mean,intensity_mean-MitoTDR_mean,intensity_mean-MitoTDR_mean,intensity_mean-conA_mean,intensity_mean-conA_mean,intensity_mean-conA_mean
,,,,,,cell-labels,cyto-labels,nuclei-labels,cell-labels,cyto-labels,nuclei-labels,cell-labels,cyto-labels,nuclei-labels,cell-labels,cyto-labels,nuclei-labels
plate1_A14_site1_Ch1__0__plate1_A14_site1_Ch1,1,A14,1,HBSS,control,79.0,79.0,79.0,1458.3978094177216,1214.6478728101267,243.74993660759498,325.2266947462635,307.7767026467916,412.45047953549573,283.3011895008876,264.05000585134076,377.55476585283094
plate1_A14_site2_Ch1__0__plate1_A14_site2_Ch1,2,A14,1,HBSS,control,92.0,92.0,92.0,1270.5623624347827,1015.8361933913045,254.74487930434788,335.0570967957602,319.5738507170695,405.50202331367353,273.7174073017615,256.90458122232934,349.3471722687742
plate1_B13_site1_Ch1__0__plate1_B13_site1_Ch1,1,B13,1,HBSS,control,59.0,59.0,59.0,1805.06988040678,1502.4123834576274,302.6574969491526,308.182553594441,295.40835758750995,377.9935857420644,292.5031657524073,274.4186976700165,391.6966321932782
plate1_B13_site2_Ch1__0__plate1_B13_site2_Ch1,2,B13,1,HBSS,control,71.0,71.0,71.0,1558.5194041690143,1291.1595267605635,267.3598774084507,299.17016394582697,285.23325714705294,363.05445180651634,305.7340276405519,284.01603790001866,406.23380996542903
plate1_C12_site1_Ch1__0__plate1_C12_site1_Ch1,1,C12,1,HBSS,control,127.0,127.0,127.0,1203.229621417323,944.5570237480316,258.67259766929135,343.52778951543183,329.7049438466621,398.5256715321834,283.1283666399538,270.7264526431119,333.90274822634825
plate1_C12_site2_Ch1__0__plate1_C12_site2_Ch1,2,C12,1,HBSS,control,124.0,124.0,124.0,1166.5923096774195,921.3840805161292,245.20822916129035,348.5899736336976,331.9816108022042,415.9173276097387,287.77845139732943,273.9409912708669,343.3100275440203
plate1_D16_site1_Ch1__0__plate1_D16_site1_Ch1,1,D16,1,DMEM,drug,137.0,137.0,137.0,1136.5299405547446,848.7231084379563,287.80683211678837,324.09437073563026,314.2939434267824,361.2811199284404,341.1003129872079,326.6836244548794,397.2258103183944
plate1_D16_site2_Ch1__0__plate1_D16_site2_Ch1,2,D16,1,DMEM,drug,126.0,126.0,126.0,1220.6002488888892,932.7191263492065,287.88112253968256,305.43130665340715,298.09709415581307,335.4623238823955,334.3002097571851,323.0418712295005,381.9689568813829
plate1_E18_site1_Ch1__0__plate1_E18_site1_Ch1,1,E18,1,DMEM,drug,147.0,147.0,147.0,1054.613018122449,800.8962803809525,253.71673774149664,345.9989260804927,335.50803523526207,383.15517282809606,296.09051609563323,283.99028924506246,339.21053128779465
plate1_E18_site2_Ch1__0__plate1_E18_site2_Ch1,2,E18,1,DMEM,drug,174.0,173.0,174.0,894.9381222988507,649.1033999537573,249.56520165517242,351.5135374204032,347.28641992275476,370.0639647086021,282.8140508927973,276.74482673528496,304.67453165821416
